fuel_type,average_delay_days
Battery,2158.6526946107783
Battery/Other,1765.0
Battery/Solar,1633.9375
Battery/Solar/Wind Turbine,1508.0
Battery/Wind Turbine,1704.6666666666667
Geothermal,2451.0
Geothermal/Battery,7760.0
Gravity via Rail,3659.0
Natural Gas,345.0
Natural Gas/Battery,5751.0
Pumped-Storage hydro,7305.0
Pumped-Storage hydro/Battery,1821.0
Solar,1773.6666666666667
Solar/Battery,2281.851063829787
Water,4883.5
Wind Turbine,2227.230769230769
Wind Turbine/Battery,5679.125
Wind Turbine/Solar/Battery,1130.5
